key,x,y,z,yaw,pitch,roll
x462,2.67129,2.33466,0.778301,-0.23625,-1.36056,1.55522
x464,2.665,2.33667,0.773214,-0.201791,-1.37027,1.52621
x466,2.65527,2.33759,0.763133,-0.126678,-1.37797,1.45734
x468,2.6374,2.33289,0.753761,-0.0577408,-1.36502,1.40223
x470,2.60401,2.33205,0.783498,-0.169082,-1.34028,1.53782
x472,2.56216,2.35126,0.810457,-0.211895,-1.34291,1.61381
x474,2.52503,2.34949,0.77877,-0.24796,-1.35009,1.67447
x476,2.5169,2.35391,0.760479,-0.235298,-1.3479,1.6701
x478,2.51003,2.35744,0.744811,-0.233437,-1.35401,1.68114
x480,2.49969,2.36173,0.718434,-0.211529,-1.34323,1.67427
x482,2.48923,2.36552,0.688717,-0.144478,-1.34703,1.62117
x484,2.47958,2.36762,0.658444,-0.106722,-1.35119,1.5963
x486,2.46666,2.36891,0.602026,0.0703966,-1.35028,1.43705
x488,2.46334,2.36768,0.574541,0.0952483,-1.35,1.41833
x490,2.46487,2.36507,0.54067,0.164234,-1.35327,1.35114
x492,2.47183,2.3642,0.507853,0.244786,-1.36254,1.26446
x494,2.48717,2.36516,0.47214,0.403456,-1.38013,1.10036
x496,2.50601,2.36874,0.44254,0.586116,-1.39655,0.911673
x498,2.55086,2.37544,0.403868,1.01628,-1.4101,0.451157
