key,x,y,z,yaw,pitch,roll
x300,1.85195,2.44429,0.367037,1.09008,-1.4644,0.990762
x301,1.84757,2.45325,0.385502,1.08984,-1.45954,0.997669
x302,1.84132,2.47248,0.42673,0.977587,-1.45149,1.10957
x303,1.84002,2.49176,0.470309,0.818778,-1.44424,1.26436
x304,1.85283,2.52409,0.533839,0.597046,-1.42716,1.46745
x305,1.87784,2.55116,0.579834,0.494482,-1.40883,1.54101
x306,1.91778,2.58226,0.62642,0.534326,-1.401,1.4708
x307,1.93004,2.5913,0.638158,0.508459,-1.39986,1.48515
x308,1.97503,2.6251,0.674062,0.450226,-1.40106,1.50284
x309,2.16077,2.70783,0.730722,0.422315,-1.38775,1.38606
x310,2.18712,2.71472,0.733176,0.436583,-1.38978,1.35262
x311,2.19856,2.71748,0.733612,0.447428,-1.39402,1.33315
x312,2.2181,2.72166,0.7334,0.465476,-1.39611,1.3026
x313,2.23505,2.72485,0.732571,0.485331,-1.39731,1.27179
x314,2.25352,2.72724,0.73171,0.490814,-1.39715,1.25363
x315,2.26887,2.7287,0.731195,0.487478,-1.39453,1.24685
x316,2.28672,2.7298,0.730724,0.496307,-1.39302,1.22445
x317,2.30246,2.73021,0.729958,0.509961,-1.39098,1.20131
x318,2.32212,2.73075,0.728624,0.521716,-1.38627,1.17804
x319,2.33731,2.73107,0.727965,0.539033,-1.38706,1.1531
x320,2.35542,2.73134,0.727819,0.544113,-1.38686,1.13639
x321,2.37195,2.73086,0.728245,0.553948,-1.39077,1.1164
x322,2.38999,2.72984,0.728744,0.550456,-1.39249,1.10726
x323,2.40641,2.72863,0.728699,0.555614,-1.39358,1.09151
x324,2.4255,2.72687,0.728505,0.566305,-1.39593,1.06755
x325,2.4423,2.72442,0.727503,0.566516,-1.39182,1.05309
x326,2.46389,2.72139,0.726163,0.477246,-1.39708,1.11256
x327,2.48076,2.71798,0.724244,0.466701,-1.39323,1.1103
x328,2.49997,2.71373,0.721615,0.494084,-1.39514,1.06875
x329,2.51988,2.70937,0.719208,0.511295,-1.39294,1.03721
x330,2.5417,2.70442,0.71746,0.564179,-1.39409,0.965974
x331,2.5592,2.7004,0.715985,0.571649,-1.39035,0.945671
x332,2.57964,2.69497,0.714199,0.605692,-1.39136,0.897545
x333,2.59968,2.68904,0.713116,0.629454,-1.39459,0.858568
x334,2.64905,2.67002,0.712594,0.781622,-1.41322,0.670191
